G♯ Melodic Minor, Cycle 7
-------------------------
4-way close: (1 3 5 7) --> (3 5 7 1)
G♯ B  D♯ F𝄪     G♯m(maj7)
A♯ C♯ E♯ F𝄪     F𝄪ø
B  D♯ E♯ G♯     E♯ø
C♯ D♯ F𝄪 A♯     D♯7
C♯ E♯ G♯ B      C♯7
D♯ F𝄪 A♯ B      Baug(maj7)
E♯ G♯ A♯ C♯     A♯m7
F𝄪 G♯ B  D♯     G♯m(maj7)
F𝄪 A♯ C♯ E♯     F𝄪ø
G♯ B  D♯ E♯     E♯ø
A♯ C♯ D♯ F𝄪     D♯7
B  C♯ E♯ G♯     C♯7
B  D♯ F𝄪 A♯     Baug(maj7)
C♯ E♯ G♯ A♯     A♯m7
D♯ F𝄪 G♯ B      G♯m(maj7)
E♯ F𝄪 A♯ C♯     F𝄪ø
E♯ G♯ B  D♯     E♯ø
F𝄪 A♯ C♯ D♯     D♯7
G♯ B  C♯ E♯     C♯7
A♯ B  D♯ F𝄪     Baug(maj7)
A♯ C♯ E♯ G♯     A♯m7
B  D♯ F𝄪 G♯     G♯m(maj7)
C♯ E♯ F𝄪 A♯     F𝄪ø
D♯ E♯ G♯ B      E♯ø
D♯ F𝄪 A♯ C♯     D♯7
E♯ G♯ B  C♯     C♯7
F𝄪 A♯ B  D♯     Baug(maj7)
G♯ A♯ C♯ E♯     A♯m7
-------------------------
Drop 2: (1 5 7 3) --> (3 7 1 5)
G♯ D♯ F𝄪 B      G♯m(maj7)
A♯ E♯ F𝄪 C♯     F𝄪ø
B  E♯ G♯ D♯     E♯ø
C♯ F𝄪 A♯ D♯     D♯7
C♯ G♯ B  E♯     C♯7
D♯ A♯ B  F𝄪     Baug(maj7)
E♯ A♯ C♯ G♯     A♯m7
F𝄪 B  D♯ G♯     G♯m(maj7)
F𝄪 C♯ E♯ A♯     F𝄪ø
G♯ D♯ E♯ B      E♯ø
A♯ D♯ F𝄪 C♯     D♯7
B  E♯ G♯ C♯     C♯7
B  F𝄪 A♯ D♯     Baug(maj7)
C♯ G♯ A♯ E♯     A♯m7
D♯ G♯ B  F𝄪     G♯m(maj7)
E♯ A♯ C♯ F𝄪     F𝄪ø
E♯ B  D♯ G♯     E♯ø
F𝄪 C♯ D♯ A♯     D♯7
G♯ C♯ E♯ B      C♯7
A♯ D♯ F𝄪 B      Baug(maj7)
A♯ E♯ G♯ C♯     A♯m7
B  F𝄪 G♯ D♯     G♯m(maj7)
C♯ F𝄪 A♯ E♯     F𝄪ø
D♯ G♯ B  E♯     E♯ø
D♯ A♯ C♯ F𝄪     D♯7
E♯ B  C♯ G♯     C♯7
F𝄪 B  D♯ A♯     Baug(maj7)
G♯ C♯ E♯ A♯     A♯m7
-------------------------
Drop 3: (1 7 3 5) --> (3 1 5 7)
G♯ F𝄪 B  D♯     G♯m(maj7)
A♯ F𝄪 C♯ E♯     F𝄪ø
B  G♯ D♯ E♯     E♯ø
C♯ A♯ D♯ F𝄪     D♯7
C♯ B  E♯ G♯     C♯7
D♯ B  F𝄪 A♯     Baug(maj7)
E♯ C♯ G♯ A♯     A♯m7
F𝄪 D♯ G♯ B      G♯m(maj7)
F𝄪 E♯ A♯ C♯     F𝄪ø
G♯ E♯ B  D♯     E♯ø
A♯ F𝄪 C♯ D♯     D♯7
B  G♯ C♯ E♯     C♯7
B  A♯ D♯ F𝄪     Baug(maj7)
C♯ A♯ E♯ G♯     A♯m7
D♯ B  F𝄪 G♯     G♯m(maj7)
E♯ C♯ F𝄪 A♯     F𝄪ø
E♯ D♯ G♯ B      E♯ø
F𝄪 D♯ A♯ C♯     D♯7
G♯ E♯ B  C♯     C♯7
A♯ F𝄪 B  D♯     Baug(maj7)
A♯ G♯ C♯ E♯     A♯m7
B  G♯ D♯ F𝄪     G♯m(maj7)
C♯ A♯ E♯ F𝄪     F𝄪ø
D♯ B  E♯ G♯     E♯ø
D♯ C♯ F𝄪 A♯     D♯7
E♯ C♯ G♯ B      C♯7
F𝄪 D♯ A♯ B      Baug(maj7)
G♯ E♯ A♯ C♯     A♯m7
-------------------------
Drop 2 and 3: (1 3 7 5) --> (3 5 1 7)
G♯ B  F𝄪 D♯     G♯m(maj7)
A♯ C♯ F𝄪 E♯     F𝄪ø
B  D♯ G♯ E♯     E♯ø
C♯ D♯ A♯ F𝄪     D♯7
C♯ E♯ B  G♯     C♯7
D♯ F𝄪 B  A♯     Baug(maj7)
E♯ G♯ C♯ A♯     A♯m7
F𝄪 G♯ D♯ B      G♯m(maj7)
F𝄪 A♯ E♯ C♯     F𝄪ø
G♯ B  E♯ D♯     E♯ø
A♯ C♯ F𝄪 D♯     D♯7
B  C♯ G♯ E♯     C♯7
B  D♯ A♯ F𝄪     Baug(maj7)
C♯ E♯ A♯ G♯     A♯m7
D♯ F𝄪 B  G♯     G♯m(maj7)
E♯ F𝄪 C♯ A♯     F𝄪ø
E♯ G♯ D♯ B      E♯ø
F𝄪 A♯ D♯ C♯     D♯7
G♯ B  E♯ C♯     C♯7
A♯ B  F𝄪 D♯     Baug(maj7)
A♯ C♯ G♯ E♯     A♯m7
B  D♯ G♯ F𝄪     G♯m(maj7)
C♯ E♯ A♯ F𝄪     F𝄪ø
D♯ E♯ B  G♯     E♯ø
D♯ F𝄪 C♯ A♯     D♯7
E♯ G♯ C♯ B      C♯7
F𝄪 A♯ D♯ B      Baug(maj7)
G♯ A♯ E♯ C♯     A♯m7
-------------------------
Drop 2 and 4: (1 5 3 7) --> (3 7 5 1)
G♯ D♯ B  F𝄪     G♯m(maj7)
A♯ E♯ C♯ F𝄪     F𝄪ø
B  E♯ D♯ G♯     E♯ø
C♯ F𝄪 D♯ A♯     D♯7
C♯ G♯ E♯ B      C♯7
D♯ A♯ F𝄪 B      Baug(maj7)
E♯ A♯ G♯ C♯     A♯m7
F𝄪 B  G♯ D♯     G♯m(maj7)
F𝄪 C♯ A♯ E♯     F𝄪ø
G♯ D♯ B  E♯     E♯ø
A♯ D♯ C♯ F𝄪     D♯7
B  E♯ C♯ G♯     C♯7
B  F𝄪 D♯ A♯     Baug(maj7)
C♯ G♯ E♯ A♯     A♯m7
D♯ G♯ F𝄪 B      G♯m(maj7)
E♯ A♯ F𝄪 C♯     F𝄪ø
E♯ B  G♯ D♯     E♯ø
F𝄪 C♯ A♯ D♯     D♯7
G♯ C♯ B  E♯     C♯7
A♯ D♯ B  F𝄪     Baug(maj7)
A♯ E♯ C♯ G♯     A♯m7
B  F𝄪 D♯ G♯     G♯m(maj7)
C♯ F𝄪 E♯ A♯     F𝄪ø
D♯ G♯ E♯ B      E♯ø
D♯ A♯ F𝄪 C♯     D♯7
E♯ B  G♯ C♯     C♯7
F𝄪 B  A♯ D♯     Baug(maj7)
G♯ C♯ A♯ E♯     A♯m7
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (3 1 7 5)
G♯ F𝄪 D♯ B      G♯m(maj7)
A♯ F𝄪 E♯ C♯     F𝄪ø
B  G♯ E♯ D♯     E♯ø
C♯ A♯ F𝄪 D♯     D♯7
C♯ B  G♯ E♯     C♯7
D♯ B  A♯ F𝄪     Baug(maj7)
E♯ C♯ A♯ G♯     A♯m7
F𝄪 D♯ B  G♯     G♯m(maj7)
F𝄪 E♯ C♯ A♯     F𝄪ø
G♯ E♯ D♯ B      E♯ø
A♯ F𝄪 D♯ C♯     D♯7
B  G♯ E♯ C♯     C♯7
B  A♯ F𝄪 D♯     Baug(maj7)
C♯ A♯ G♯ E♯     A♯m7
D♯ B  G♯ F𝄪     G♯m(maj7)
E♯ C♯ A♯ F𝄪     F𝄪ø
E♯ D♯ B  G♯     E♯ø
F𝄪 D♯ C♯ A♯     D♯7
G♯ E♯ C♯ B      C♯7
A♯ F𝄪 D♯ B      Baug(maj7)
A♯ G♯ E♯ C♯     A♯m7
B  G♯ F𝄪 D♯     G♯m(maj7)
C♯ A♯ F𝄪 E♯     F𝄪ø
D♯ B  G♯ E♯     E♯ø
D♯ C♯ A♯ F𝄪     D♯7
E♯ C♯ B  G♯     C♯7
F𝄪 D♯ B  A♯     Baug(maj7)
G♯ E♯ C♯ A♯     A♯m7
-------------------------
