F♯ Melodic Minor, Cycle 3
-------------------------
4-way close: (1 3 5 7) --> (7 1 3 5)
F♯ A  C♯ E♯     F♯m(maj7)
G♯ A  C♯ E♯     Aaug(maj7)
G♯ B  C♯ E♯     C♯7
G♯ B  D♯ E♯     E♯ø
G♯ B  D♯ F♯     G♯m7
A  B  D♯ F♯     B7
A  C♯ D♯ F♯     D♯ø
A  C♯ E♯ F♯     F♯m(maj7)
A  C♯ E♯ G♯     Aaug(maj7)
B  C♯ E♯ G♯     C♯7
B  D♯ E♯ G♯     E♯ø
B  D♯ F♯ G♯     G♯m7
B  D♯ F♯ A      B7
C♯ D♯ F♯ A      D♯ø
C♯ E♯ F♯ A      F♯m(maj7)
C♯ E♯ G♯ A      Aaug(maj7)
C♯ E♯ G♯ B      C♯7
D♯ E♯ G♯ B      E♯ø
D♯ F♯ G♯ B      G♯m7
D♯ F♯ A  B      B7
D♯ F♯ A  C♯     D♯ø
E♯ F♯ A  C♯     F♯m(maj7)
E♯ G♯ A  C♯     Aaug(maj7)
E♯ G♯ B  C♯     C♯7
E♯ G♯ B  D♯     E♯ø
F♯ G♯ B  D♯     G♯m7
F♯ A  B  D♯     B7
F♯ A  C♯ D♯     D♯ø
-------------------------
Drop 2: (1 5 7 3) --> (7 3 5 1)
F♯ C♯ E♯ A      F♯m(maj7)
G♯ C♯ E♯ A      Aaug(maj7)
G♯ C♯ E♯ B      C♯7
G♯ D♯ E♯ B      E♯ø
G♯ D♯ F♯ B      G♯m7
A  D♯ F♯ B      B7
A  D♯ F♯ C♯     D♯ø
A  E♯ F♯ C♯     F♯m(maj7)
A  E♯ G♯ C♯     Aaug(maj7)
B  E♯ G♯ C♯     C♯7
B  E♯ G♯ D♯     E♯ø
B  F♯ G♯ D♯     G♯m7
B  F♯ A  D♯     B7
C♯ F♯ A  D♯     D♯ø
C♯ F♯ A  E♯     F♯m(maj7)
C♯ G♯ A  E♯     Aaug(maj7)
C♯ G♯ B  E♯     C♯7
D♯ G♯ B  E♯     E♯ø
D♯ G♯ B  F♯     G♯m7
D♯ A  B  F♯     B7
D♯ A  C♯ F♯     D♯ø
E♯ A  C♯ F♯     F♯m(maj7)
E♯ A  C♯ G♯     Aaug(maj7)
E♯ B  C♯ G♯     C♯7
E♯ B  D♯ G♯     E♯ø
F♯ B  D♯ G♯     G♯m7
F♯ B  D♯ A      B7
F♯ C♯ D♯ A      D♯ø
-------------------------
Drop 3: (1 7 3 5) --> (7 5 1 3)
F♯ E♯ A  C♯     F♯m(maj7)
G♯ E♯ A  C♯     Aaug(maj7)
G♯ E♯ B  C♯     C♯7
G♯ E♯ B  D♯     E♯ø
G♯ F♯ B  D♯     G♯m7
A  F♯ B  D♯     B7
A  F♯ C♯ D♯     D♯ø
A  F♯ C♯ E♯     F♯m(maj7)
A  G♯ C♯ E♯     Aaug(maj7)
B  G♯ C♯ E♯     C♯7
B  G♯ D♯ E♯     E♯ø
B  G♯ D♯ F♯     G♯m7
B  A  D♯ F♯     B7
C♯ A  D♯ F♯     D♯ø
C♯ A  E♯ F♯     F♯m(maj7)
C♯ A  E♯ G♯     Aaug(maj7)
C♯ B  E♯ G♯     C♯7
D♯ B  E♯ G♯     E♯ø
D♯ B  F♯ G♯     G♯m7
D♯ B  F♯ A      B7
D♯ C♯ F♯ A      D♯ø
E♯ C♯ F♯ A      F♯m(maj7)
E♯ C♯ G♯ A      Aaug(maj7)
E♯ C♯ G♯ B      C♯7
E♯ D♯ G♯ B      E♯ø
F♯ D♯ G♯ B      G♯m7
F♯ D♯ A  B      B7
F♯ D♯ A  C♯     D♯ø
-------------------------
Drop 2 and 3: (1 3 7 5) --> (7 1 5 3)
F♯ A  E♯ C♯     F♯m(maj7)
G♯ A  E♯ C♯     Aaug(maj7)
G♯ B  E♯ C♯     C♯7
G♯ B  E♯ D♯     E♯ø
G♯ B  F♯ D♯     G♯m7
A  B  F♯ D♯     B7
A  C♯ F♯ D♯     D♯ø
A  C♯ F♯ E♯     F♯m(maj7)
A  C♯ G♯ E♯     Aaug(maj7)
B  C♯ G♯ E♯     C♯7
B  D♯ G♯ E♯     E♯ø
B  D♯ G♯ F♯     G♯m7
B  D♯ A  F♯     B7
C♯ D♯ A  F♯     D♯ø
C♯ E♯ A  F♯     F♯m(maj7)
C♯ E♯ A  G♯     Aaug(maj7)
C♯ E♯ B  G♯     C♯7
D♯ E♯ B  G♯     E♯ø
D♯ F♯ B  G♯     G♯m7
D♯ F♯ B  A      B7
D♯ F♯ C♯ A      D♯ø
E♯ F♯ C♯ A      F♯m(maj7)
E♯ G♯ C♯ A      Aaug(maj7)
E♯ G♯ C♯ B      C♯7
E♯ G♯ D♯ B      E♯ø
F♯ G♯ D♯ B      G♯m7
F♯ A  D♯ B      B7
F♯ A  D♯ C♯     D♯ø
-------------------------
Drop 2 and 4: (1 5 3 7) --> (7 3 1 5)
F♯ C♯ A  E♯     F♯m(maj7)
G♯ C♯ A  E♯     Aaug(maj7)
G♯ C♯ B  E♯     C♯7
G♯ D♯ B  E♯     E♯ø
G♯ D♯ B  F♯     G♯m7
A  D♯ B  F♯     B7
A  D♯ C♯ F♯     D♯ø
A  E♯ C♯ F♯     F♯m(maj7)
A  E♯ C♯ G♯     Aaug(maj7)
B  E♯ C♯ G♯     C♯7
B  E♯ D♯ G♯     E♯ø
B  F♯ D♯ G♯     G♯m7
B  F♯ D♯ A      B7
C♯ F♯ D♯ A      D♯ø
C♯ F♯ E♯ A      F♯m(maj7)
C♯ G♯ E♯ A      Aaug(maj7)
C♯ G♯ E♯ B      C♯7
D♯ G♯ E♯ B      E♯ø
D♯ G♯ F♯ B      G♯m7
D♯ A  F♯ B      B7
D♯ A  F♯ C♯     D♯ø
E♯ A  F♯ C♯     F♯m(maj7)
